Air Force,557151
Akron,557183
Alabama,557184
Appalachian State,557186
Arizona,557190
Arizona State,557188
Arkansas,557194
Arkansas State,557192
Army,557152
Auburn,557196
Ball State,557198
Baylor,557199
Boise State,557201
Boston College,557203
Bowling Green,557204
Buffalo,557207
BYU,557206
California,557211
Central Michigan,557218
Charlotte,557316
Cincinnati,557219
Clemson,557221
Coastal Carolina,557223
Colorado,557226
Colorado State,557224
Duke,557229
East Carolina,557230
Eastern Michigan,557232
Florida Atlantic,557234
FIU,557237
Florida,557241
Florida State,557239
Fresno State,557209
Georgia,557249
Georgia Southern,557243
Georgia State,557245
Georgia Tech,557247
Hawaii,557251
Houston,557252
Illinois,557254
Indiana,557256
Iowa,557260
Iowa State,557258
Jacksonville State,557522
James Madison,557382
Kansas,557264
Kansas State,557262
Kennesaw State,557738
Kent State,557266
Kentucky,557268
Liberty,557179
Louisiana,557115
Louisianaâ€“Monroe,557338
Louisiana Tech,557272
Louisville,557274
LSU,557270
Marshall,557277
Maryland,557279
Memphis,557286
Miami (FL),557291
Miami (OH),557288
Michigan,557297
Michigan State,557294
Middle Tennessee,557301
Minnesota,557304
Mississippi State,557305
Missouri,557310
Navy,557154
NC State,557332
Nebraska,557319
Nevada,557324
New Mexico,557330
New Mexico State,557327
North Carolina,557313
North Texas,557335
Northern Illinois,557341
Northwestern,557344
Notre Dame,557347
Ohio,557351
Ohio State,557349
Oklahoma,557357
Oklahoma State,557354
Old Dominion,557360
Ole Miss,557308
Oregon,557365
Oregon State,557363
Penn State,557367
Pittsburgh,557370
Purdue,557372
Rice,557374
Rutgers,557376
Sam Houston,557641
San Diego State,557379
San Jose State,557107
SMU,557112
South Alabama,557108
South Carolina,557109
South Florida,557110
Southern Miss,557113
Stanford,557116
Syracuse,557117
TCU,557121
Temple,557118
Tennessee,557119
Texas,557123
Texas A&M,557120
Texas State,557114
Texas Tech,557122
Toledo,557146
Troy,557147
Tulane,557148
Tulsa,557149
UAB,557181
UCF,557216
UCLA,557214
UConn,557227
UMass,557282
UNLV,557322
USC,557111
UTEP,557124
UTSA,557125
Utah,557158
Utah State,557156
Vanderbilt,557160
Virginia,557163
Virginia Tech,557161
Wake Forest,557164
Washington,557168
Washington State,557166
West Virginia,557170
Western Kentucky,557171
Western Michigan,557173
Wisconsin,557175
Wyoming,557177