College,Id,Total Offense,Rushing Offense,Passing Offense,Team Passing Efficiency,Scoring Offense,Total Defense,Rushing Defense,Passing Yards Allowed,Team Passing Efficiency Defense,Scoring Defense,Turnover Margin,3rd Down Conversion Pct,4th Down Conversion Pct,3rd Down Conversion Pct Defense,4th Down Conversion Pct Defense,Red Zone Offense,Red Zone Defense,Net Punting,Punt Returns,Kickoff Returns,First Downs Offense,First Downs Defense,Fewest Penalties Per Game,Fewest Penalty Yards Per Game,Time of Possession
Mississippi State,557305,328.6,146.8,181.8,118.90,21.8,350.6,145.9,204.7,144.88,26.6,-0.17,0.308,0.417,0.341,0.571,0.795,0.917,38.90,11.81,23.91,199,220,6.25,56.83,28:44
Missouri,557310,434.3,172.0,262.3,157.76,32.5,336.1,122.8,213.2,132.38,20.8,0.77,0.426,0.733,0.369,0.667,0.966,0.821,39.40,7.89,19.15,284,234,7.15,54.54,30:25
Navy,557154,300.2,194.6,105.7,116.34,17.7,353.7,128.8,224.8,142.33,22.4,0.92,0.289,0.615,0.325,0.600,0.690,0.719,40.74,8.80,19.88,174,215,5.67,46.00,30:55
NC State,557332,350.4,156.5,193.9,125.19,26.1,332.1,116.5,215.6,120.06,20.8,0.69,0.401,0.600,0.278,0.571,0.826,0.824,39.45,10.06,22.38,241,221,5.77,46.31,32:27
Nebraska,557319,312.8,176.8,135.9,104.98,18.0,303.5,92.9,210.6,117.83,18.2,-1.42,0.379,0.500,0.367,0.391,0.690,0.816,37.78,3.00,23.93,198,199,5.08,42.75,30:54
Nevada,557324,300.0,124.8,175.2,105.32,17.3,441.8,187.8,254.1,156.74,33.4,-0.33,0.304,0.435,0.415,0.611,0.800,0.841,38.45,16.86,17.29,200,253,6.75,58.50,30:20
New Mexico,557330,410.6,192.7,217.9,128.54,27.2,408.2,172.2,236.0,158.02,35.1,-0.58,0.414,0.643,0.371,0.500,0.923,0.918,34.42,1.25,17.25,279,249,9.92,89.67,32:32
New Mexico State,557327,412.4,198.7,213.7,146.74,27.5,392.4,143.7,248.7,139.84,22.8,-0.13,0.433,0.579,0.372,0.548,0.865,0.726,38.55,7.50,18.72,308,312,6.47,61.20,31:15
North Carolina,557313,491.2,192.1,299.2,148.36,34.5,404.4,163.2,241.2,133.05,27.3,0.38,0.484,0.450,0.386,0.515,0.881,0.800,34.81,12.67,18.36,320,291,7.15,66.31,28:37
North Texas,557335,495.8,191.2,304.7,147.62,34.5,476.4,255.2,221.2,142.26,37.1,-0.42,0.422,0.600,0.462,0.593,0.898,0.875,40.74,4.55,19.46,297,281,4.75,46.58,29:12
Northern Illinois,557341,369.4,179.6,189.8,122.88,24.9,319.5,148.4,171.2,116.42,21.0,-0.23,0.416,0.500,0.408,0.583,0.795,0.844,38.87,8.67,15.50,245,233,4.46,39.77,31:34
Northwestern,557344,303.9,101.9,202.0,131.51,22.1,340.8,157.8,182.9,127.17,22.5,1.00,0.408,0.214,0.397,0.500,0.878,0.795,37.12,6.36,21.63,220,239,5.31,42.62,28:37
Notre Dame,557347,432.2,185.7,246.5,165.39,39.2,276.3,119.0,157.3,97.09,15.9,0.54,0.448,0.588,0.346,0.417,0.870,0.706,38.03,11.20,26.29,273,207,5.31,47.92,30:36
Ohio,557351,348.0,144.4,203.6,129.54,24.3,273.5,91.2,182.4,120.80,15.8,0.77,0.457,0.500,0.304,0.484,0.846,0.750,35.56,2.73,18.20,272,186,5.62,51.77,33:25
Ohio State,557349,407.9,138.8,269.1,155.16,30.5,265.4,119.5,145.9,99.21,11.2,-0.15,0.436,0.556,0.286,0.500,0.860,0.750,40.51,4.41,19.92,275,203,5.69,44.54,29:25
Oklahoma,557357,507.0,182.2,324.8,167.53,41.7,389.4,138.6,250.8,118.62,23.5,0.46,0.492,0.684,0.311,0.529,0.896,0.810,39.60,6.52,21.05,332,260,6.77,58.46,29:04
Oklahoma State,557354,431.8,155.3,276.5,122.20,29.6,441.8,166.8,275.0,147.97,28.6,0.14,0.388,0.550,0.418,0.240,0.887,0.865,39.94,3.50,20.34,303,280,5.00,41.29,29:43
Old Dominion,557360,348.2,153.4,194.8,127.61,23.8,392.2,141.7,250.5,142.41,27.2,0.23,0.371,0.269,0.377,0.519,0.722,0.796,35.45,6.94,16.77,215,290,6.46,61.08,24:49
Ole Miss,557308,461.9,176.3,285.6,162.87,35.1,382.2,152.8,229.5,128.66,22.1,0.85,0.371,0.694,0.390,0.414,0.881,0.854,38.14,8.36,15.50,305,265,7.23,59.08,27:44
Oregon,557365,531.4,184.5,346.9,186.13,44.2,318.4,102.6,215.9,117.61,16.5,0.79,0.510,0.760,0.358,0.474,0.878,0.833,42.72,9.57,15.40,372,253,6.64,60.57,31:03
Oregon State,557363,409.2,167.1,242.2,146.38,31.8,350.1,114.2,235.8,134.61,22.9,0.46,0.385,0.567,0.394,0.565,0.976,0.818,37.46,18.00,18.50,279,260,5.62,50.38,30:43
Penn State,557367,399.8,184.8,215.0,139.41,36.2,247.6,75.5,172.1,116.44,13.5,1.23,0.408,0.769,0.302,0.550,0.953,0.917,42.90,10.77,23.25,292,181,5.00,43.31,32:32
Pittsburgh,557370,317.9,101.9,216.0,122.73,20.2,361.6,150.2,211.4,139.72,27.3,-0.42,0.318,0.500,0.369,0.480,0.880,0.744,35.51,4.82,18.22,195,240,7.83,64.42,27:37
Purdue,557372,380.2,169.1,211.2,121.52,23.9,382.1,140.6,241.5,133.44,29.9,0.00,0.358,0.393,0.412,0.455,0.721,0.867,36.75,7.95,24.24,246,239,6.00,56.33,30:26
Rice,557374,362.9,110.5,252.5,140.93,29.5,364.7,153.1,211.6,131.53,28.1,-1.08,0.385,0.667,0.371,0.407,0.894,0.750,35.87,10.37,20.30,248,251,5.69,48.31,32:06
Rutgers,557376,306.2,168.7,137.5,105.17,23.2,313.5,137.2,176.3,120.73,21.2,0.38,0.369,0.640,0.391,0.517,0.864,0.756,38.82,2.00,33.00,227,239,5.08,45.15,31:47
Sam Houston,557641,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego State,557379,326.0,154.2,171.8,121.67,20.5,406.9,165.8,241.2,125.99,26.8,0.08,0.353,0.565,0.414,0.529,0.784,0.897,42.57,8.58,20.31,206,252,4.92,44.00,32:40
San Jose State,557107,403.5,184.1,219.5,141.59,31.8,353.2,170.2,183.0,127.45,25.6,0.85,0.454,0.368,0.448,0.667,0.789,0.974,36.93,19.50,14.89,270,255,5.69,49.08,30:30
SMU,557112,454.3,175.9,278.4,149.30,38.7,304.1,121.9,182.2,115.28,17.8,0.21,0.431,0.607,0.281,0.553,0.931,0.778,36.32,9.81,19.65,334,233,4.64,41.21,30:06
South Alabama,557108,440.2,172.0,268.2,152.86,33.1,313.2,113.7,199.5,130.68,21.0,0.15,0.434,0.630,0.341,0.381,0.900,0.774,39.15,10.50,17.33,294,210,6.77,58.85,30:32
South Carolina,557109,363.1,85.1,278.0,149.64,26.0,395.7,149.4,246.2,131.18,26.3,0.33,0.338,0.375,0.429,0.609,0.897,0.804,41.21,7.54,17.60,217,255,7.17,55.50,28:18
South Florida,557110,451.6,182.8,268.8,144.55,31.9,432.5,143.7,288.8,142.07,32.2,0.23,0.377,0.435,0.328,0.515,0.732,0.841,39.30,5.11,19.71,300,274,7.46,65.54,28:34
Southern Miss,557113,353.4,162.8,190.7,113.96,23.2,420.8,178.8,242.0,151.03,35.8,0.17,0.380,0.423,0.379,0.500,0.837,0.872,36.57,10.44,22.54,242,237,6.25,48.17,33:12
Stanford,557116,351.6,118.6,233.0,113.92,20.6,461.7,163.7,298.0,158.39,37.2,-0.33,0.361,0.333,0.513,0.619,0.886,0.815,37.41,6.86,15.33,235,303,6.42,59.08,31:17
Syracuse,557117,343.3,172.3,171.0,128.11,23.5,380.5,148.2,232.4,135.07,25.4,-0.15,0.392,0.500,0.406,0.467,0.780,0.760,38.67,9.92,17.95,233,278,7.31,61.62,28:18
TCU,557121,466.7,154.5,312.2,137.73,31.3,408.3,154.7,253.7,132.87,27.8,-0.58,0.466,0.500,0.394,0.387,0.725,0.867,37.95,12.17,21.09,301,253,6.17,53.58,27:20
Temple,557118,372.3,95.7,276.7,119.25,21.1,441.6,198.3,243.2,164.42,35.7,-1.67,0.382,0.511,0.470,0.611,0.694,0.849,36.34,5.43,17.64,247,277,4.50,36.67,28:22
Tennessee,557119,448.1,204.8,243.2,143.95,31.8,335.2,113.7,221.5,129.79,20.3,0.46,0.420,0.389,0.365,0.269,0.833,0.854,41.33,12.33,19.53,284,244,7.77,67.92,24:35
Texas,557123,477.5,188.4,289.1,151.88,35.8,336.7,82.4,254.4,127.92,18.9,0.43,0.384,0.613,0.266,0.464,0.803,0.738,41.76,15.88,20.52,323,248,6.57,52.21,31:13
Texas A&M,557120,406.9,136.2,270.8,147.62,33.3,316.2,108.8,207.4,133.74,22.1,-0.15,0.434,0.579,0.322,0.412,0.869,0.833,39.00,12.00,18.14,289,214,5.92,45.46,31:24
Texas State,557114,457.6,186.7,270.9,150.13,36.7,397.6,151.3,246.3,143.21,32.8,-0.08,0.440,0.656,0.468,0.469,0.869,0.855,37.80,6.92,26.08,312,287,7.31,69.23,29:11
Texas Tech,557122,386.7,162.7,224.0,121.66,27.4,389.5,160.4,229.2,122.81,26.0,-0.46,0.395,0.649,0.414,0.440,0.860,0.820,41.50,19.50,25.48,286,268,5.46,49.92,28:33
Toledo,557146,419.2,198.6,220.6,147.82,32.3,331.8,148.8,183.0,110.20,20.3,-0.21,0.444,0.591,0.374,0.462,0.895,0.787,36.20,5.53,21.70,286,261,6.64,61.79,27:37
Troy,557147,419.4,153.4,266.0,148.03,29.6,308.1,106.6,201.5,122.27,17.1,0.36,0.402,0.467,0.325,0.333,0.923,0.829,38.25,5.06,19.67,298,247,5.21,46.79,30:50
Tulane,557148,370.1,155.1,215.0,149.55,26.4,341.3,112.7,228.6,127.53,20.5,0.50,0.378,0.594,0.366,0.459,0.746,0.891,40.55,10.43,24.81,260,268,4.79,42.86,31:21
Tulsa,557149,385.4,180.8,204.7,127.04,23.4,444.7,164.8,279.8,152.39,33.8,-0.25,0.446,0.438,0.400,0.625,0.889,0.854,39.14,11.17,21.33,237,253,5.08,43.25,29:40
UAB,557181,450.0,161.1,288.9,150.78,29.9,435.0,197.1,237.9,138.82,36.9,0.08,0.403,0.481,0.494,0.593,0.731,0.852,38.18,10.00,18.45,285,282,6.67,56.25,29:10
UCF,557216,487.0,228.2,258.8,155.40,31.3,391.0,194.3,196.7,120.32,25.8,-0.15,0.500,0.565,0.395,0.583,0.755,0.821,35.56,9.18,21.76,300,283,6.08,50.08,28:53
UCLA,557214,427.1,197.9,229.2,131.57,26.5,301.5,80.8,220.8,119.31,18.4,0.15,0.451,0.469,0.354,0.421,0.633,0.821,39.52,6.83,20.38,280,223,7.08,58.08,29:01
UConn,557227,326.9,136.6,190.3,114.56,19.1,406.5,147.7,258.8,150.16,29.8,-0.33,0.355,0.381,0.429,0.500,0.781,0.795,39.30,3.64,19.03,216,259,6.17,55.00,31:16
UMass,557282,356.2,142.2,214.1,129.88,23.2,427.0,220.8,206.2,151.40,37.8,-0.08,0.367,0.231,0.454,0.467,0.833,0.848,32.32,6.67,17.82,215,263,8.00,70.92,29:33
UNLV,557322,412.7,173.5,239.2,139.71,34.4,415.5,161.8,253.7,149.16,28.6,0.57,0.493,0.450,0.365,0.522,0.931,0.840,42.12,17.17,23.83,287,281,6.86,61.79,28:08
USC,557111,467.6,134.6,333.0,170.88,41.8,432.8,186.5,246.4,149.72,34.4,-0.08,0.434,0.611,0.436,0.607,0.867,0.909,40.82,17.00,18.20,294,295,7.54,68.38,27:40
UTEP,557124,362.0,144.3,217.7,126.15,19.9,386.8,202.2,184.7,129.06,28.5,-0.50,0.327,0.467,0.430,0.500,0.800,0.911,38.48,12.00,19.00,219,230,7.00,60.08,31:26
UTSA,557125,421.6,171.8,249.8,138.42,31.9,369.1,135.5,233.6,122.08,24.1,-0.38,0.477,0.577,0.386,0.581,0.860,0.833,40.04,7.35,16.79,295,246,5.62,51.23,30:08
Utah,557158,348.4,182.5,165.8,121.22,23.2,307.2,82.8,224.4,126.16,19.3,0.15,0.413,0.414,0.295,0.417,0.812,0.781,40.71,4.62,20.24,244,199,5.00,41.62,34:04
Utah State,557156,438.6,184.4,254.2,143.15,33.2,433.1,213.5,219.6,131.28,34.7,-0.38,0.364,0.562,0.424,0.471,0.867,0.810,36.76,8.63,19.74,284,305,7.46,70.85,26:51
Vanderbilt,557160,318.9,95.2,223.7,126.76,22.8,454.9,175.3,279.6,150.50,36.2,-0.25,0.331,0.296,0.470,0.714,0.765,0.925,42.24,9.67,20.19,204,269,4.92,42.50,28:44
Virginia,557163,368.8,117.9,250.8,135.24,23.2,409.2,184.5,224.8,133.66,33.8,-0.50,0.361,0.600,0.404,0.579,0.791,0.854,36.09,3.81,20.47,252,259,6.50,55.25,31:25
Virginia Tech,557161,391.5,189.8,201.7,137.58,29.5,316.8,148.0,168.8,126.42,23.9,0.08,0.349,0.654,0.347,0.529,0.885,0.886,40.80,11.56,24.66,258,220,6.31,57.85,31:10
Wake Forest,557164,327.8,130.4,197.3,129.94,20.2,386.7,154.3,232.3,145.59,27.0,-0.50,0.342,0.421,0.402,0.632,0.778,0.769,38.95,9.25,22.96,240,224,4.08,38.83,29:05
Washington,557168,462.1,118.4,343.7,158.61,36.0,406.7,148.1,258.6,122.60,24.8,0.00,0.442,0.636,0.386,0.405,0.863,0.852,39.87,9.68,20.68,349,332,7.47,68.60,30:08
Washington State,557166,421.7,84.8,336.8,147.18,31.7,389.4,150.8,238.6,128.24,28.1,-0.50,0.425,0.462,0.411,0.632,0.760,0.905,41.65,7.78,22.00,270,241,6.08,49.67,29:40
West Virginia,557170,434.6,228.9,205.7,135.35,31.5,380.8,143.4,237.4,137.66,26.2,0.15,0.397,0.528,0.386,0.519,0.845,0.829,40.76,10.23,18.95,290,258,5.15,46.38,32:41
Western Kentucky,557171,401.8,105.4,296.4,141.75,30.5,419.7,190.0,229.7,125.08,28.7,0.23,0.432,0.615,0.398,0.675,0.950,0.809,37.95,3.64,19.21,263,276,4.54,36.77,29:16
Western Michigan,557173,365.0,153.8,211.2,123.35,23.7,393.3,158.8,234.6,142.48,31.8,0.33,0.358,0.487,0.456,0.200,0.795,0.870,33.21,9.14,18.96,237,244,7.17,62.67,30:00
Wisconsin,557175,381.2,161.0,220.2,118.89,23.5,344.0,135.1,208.9,124.42,20.2,0.00,0.442,0.250,0.396,0.318,0.848,0.806,39.06,8.82,21.24,261,241,5.62,48.08,29:17
Wyoming,557177,327.0,158.5,168.5,140.48,25.3,357.8,144.5,213.2,120.84,22.3,0.85,0.368,0.667,0.445,0.565,0.875,0.851,38.44,3.67,18.43,242,258,3.92,33.38,30:14
